Timestamp,Please indicate your role within the organization:,How long have you been working in the NGS,How often do you handle sensitive NGS data that could be targeted in a cybersecurity attack,How often do you open emails from unknown senders as part of your work,Have you ever used a personal USB drive or other external storage devices to transfer NGS data,"Do you follow a process to verify the security of websites or links before accessing them, especially when related to NGS research","Have you ever shared your login credentials with a colleague, even if you believed it was for a legitimate purpose","In the event of receiving a suspicious email, what actions do you typically take (Select all that apply)",Has there been an instance where you accessed NGS data from a public Wi-Fi network,"How frequently do you engage in non-work-related activities (e.g., browsing social media, personal emails) on devices used to access NGS data systems","Do you regularly update your computer, smartphone, and other devices with the latest security patches and software updates",Have you ever fallen victim to a phishing email or scam,Are you aware of the potential cybersecurity risks associated with next-generation sequencing (NGS) technologies,Do you understand the importance of securing genomic data generated by NGS technologies to protect patient privacy and confidentiality,"Are you familiar with common cybersecurity threats and vulnerabilities that can affect NGS data, such as data breaches, ransomware attacks, unauthorized access, fishing attack,  targeted attacks on genomic data or manipulation of sequencing results",Have you implemented data backup and disaster recovery plans to ensure the resilience of NGS data in the event of cyberattacks or system failures,How often does your organization provide cybersecurity training specifically tailored to NGS operations,How confident are you in identifying a cybersecurity threat specific to NGS operations,Does your organization have clear and accessible cybersecurity policies specific to NGS operations,Have you experienced any cybersecurity incidents or breaches related to NGS data in the past,How often do you participate in cybersecurity training or awareness programs specifically tailored for NGS data security,"When handling sensitive NGS data, which of the following practices do you regularly follow (Select all that apply)",Have you or anyone in your team ever detected a potential cybersecurity threat,How would you describe the overall culture of cybersecurity within your organization,How relevant do you find the cybersecurity training content to your day-to-day responsibilities,"Since the last cybersecurity training session, have you encountered situations where you applied the knowledge learned","In your opinion, what are the biggest barriers to implementing effective cybersecurity training in your organization (Select all that apply)",Have you ever received suspicious emails or messages that you suspect may target NGS data or systems,Has your organization ever experienced a cybersecurity breach that affected NGS or any other sensitive data,Do you feel that cybersecurity should be a priority in your NGS relates tasks or experiments,Do you use encryption techniques to secure NGS data during transmission and storage,Do you collaborate with cybersecurity experts or professionals to enhance the security posture of NGS systems and data,Do you feel that the  careless behaviors could lead to potential cybersecurity risks to the sensitive and private data in NGS,"Has there been a cybersecurity incident within your organization such as hacking, password stealing etc.,  that led to changes or enhancements in the training program or policy change",Does your organization have clear and accessible cybersecurity policies specific to NGS operations or sensitive healthcare data such as DNA sequencing data,"In the last year, how often has cybersecurity been discussed in your meetings or other organizational communications",What methods does your organization use to communicate about cybersecurity issues (Select all that apply),What is your age group,Have you heard about the term Bio-Cyber Security
4/23/2024 11:48:09,IT/Cybersecurity Specialist,Less than 1 year,Monthly,Occasionally,Yes,Never,Yes,"Open the email out of curiosity, Click on links within the email to see where they lead, Download and open attachments to determine their relevance",Yes,Several times per week,"Yes, always","Yes, once","Yes, very aware","Yes, fully understand","No, not familiar","Yes, basic plans in place",Never,Somewhat confident,No,"Yes, one incident",Rarely,I do not consider any above practice,No,"Varied Awareness: Awareness and practices regarding cybersecurity vary significantly between departments or teams. Some areas of the organization may prioritize it highly, while others do not.",Neutral,Never,Lack of time or resources,Yes,Yes,Yes,"No, rarely or never","No, not collaborated",Yes,No,unsure,Never,Never discussed,18-24,Yes
05/02/2024 6:38,Human Resources (HR) Professional,Less than 1 year,Weekly,Very frequently,Yes,Always,No,Open the email out of curiosity,Yes,Multiple times per day,"Yes, always","Yes, multiple times","Yes, very aware","Yes, fully understand",Somewhat familiar,"No, plans not implemented",Quarterly,Somewhat confident,Maybe,"Yes, multiple incidents","Occasionally (e.g., once a year)",Encrypting NGS data files before transferring them to external devices or networks.,Yes,"Generally Aware: Most employees are aware of the importance of cybersecurity. There are some policies and training in place, and while not all practices are perfectly followed, there's a concerted effort to maintain security.",Neutral,Occasionally,Lack of time or resources,Yes,Yes,Yes,"Yes, sometimes","Yes, occasionally",Yes,Yes,Yes,Frequently,Email alerts,Under 18,Yes
05/02/2024 6:43,Student,3-5 years,Monthly,Occasionally,No,Often,Yes,Ignore the email but leave it in the inbox,Yes,Several times per week,"Yes, always","Yes, multiple times","Yes, very aware","Yes, fully understand","Yes, very familiar","Yes, basic plans in place",Quarterly,Somewhat unconfident,Yes,"Yes, one incident","Occasionally (e.g., once a year)",Encrypting NGS data files before transferring them to external devices or networks.,Yes,"Strongly Proactive: Cybersecurity is a top priority for everyone, from leadership to entry-level employees. Regular training, clear communication, and effective policies are in place, actively preventing cybersecurity incidents.",Neutral,Occasionally,Insufficiently tailored content to specific roles or departments,Yes,No,Yes,"No, rarely or never","Yes, regularly",Yes,No,No,Very frequently,Email alerts,25-34,Yes
05/02/2024 7:01,Student,Less than 1 year,Weekly,Rarely,No,Often,No,Forward the email to IT or cybersecurity department,No,Never,"Yes, sometimes","No, never","Yes, very aware","Yes, fully understand","Yes, very familiar","No, plans not implemented",Bi-annually,Somewhat confident,Yes,"No, never experienced","Occasionally (e.g., once a year)","Restricting access to NGS data systems or platforms to authorized personnel only., Avoiding the use of personal email accounts or unsecured communication channels for sharing NGS data.",No,"Varied Awareness: Awareness and practices regarding cybersecurity vary significantly between departments or teams. Some areas of the organization may prioritize it highly, while others do not.",Neutral,Never,"Lack of time or resources, Training not perceived as relevant or important by employees",No,No,Yes,"Yes, sometimes","Yes, occasionally",Yes,Unsure,unsure,Frequently,"Email alerts, Training sessions",18-24,Yes
05/02/2024 7:18,Student,Less than 1 year,Never,Never,No,Never,No,Ignore the email but leave it in the inbox,No,Rarely,"No, rarely or never","No, never","Yes, very aware","No, not understand","No, not familiar","No, plans not implemented",Never,Somewhat confident,Maybe,"No, never experienced",Never,I do not consider any above practice,No,"Uncertain/Not Applicable: I am uncertain about the cybersecurity culture in our organization, or this question does not apply to my role/experience.",Neutral,Never,Lack of management support or prioritization,No,No,Maybe,"No, rarely or never","Yes, regularly",Yes,Unsure,unsure,Never,Never discussed,18-24,Yes
05/02/2024 7:19,Student,Less than 1 year,Never,Rarely,No,Often,Maybe,Click on links within the email to see where they lead,No,Once per day,"Yes, always","No, never","Yes, very aware",Partially understand,"No, not familiar","No, plans not implemented",Never,Somewhat confident,No,"No, never experienced",Never,Encrypting NGS data files before transferring them to external devices or networks.,No,"Strongly Proactive: Cybersecurity is a top priority for everyone, from leadership to entry-level employees. Regular training, clear communication, and effective policies are in place, actively preventing cybersecurity incidents.",Neutral,Never,Lack of management support or prioritization,Maybe,No,Yes,"No, rarely or never","No, not collaborated",Yes,Unsure,No,Never,Email alerts,18-24,Maybe
05/02/2024 7:19,IT/Cybersecurity Specialist,Less than 1 year,Never,Never,No,Rarely,No,Ignore the email but leave it in the inbox,No,Rarely,"Yes, sometimes","No, never","Yes, very aware",Partially understand,Somewhat familiar,"No, plans not implemented",Annually,Somewhat confident,Yes,"No, never experienced",Never,Avoiding the use of personal email accounts or unsecured communication channels for sharing NGS data.,No,"Reactive: Cybersecurity becomes a priority only after an incident has occurred. While there are some guidelines, they are not thoroughly enforced or followed until a problem arises.",Neutral,Occasionally,Lack of time or resources,Maybe,No,Yes,"Yes, sometimes","Yes, occasionally",Yes,No,unsure,Rarely,Never discussed,18-24,No
05/02/2024 7:21,Student,Less than 1 year,Never,Rarely,No,Never,No,Ignore the email but leave it in the inbox,No,Never,"Yes, always","No, never",Somewhat aware,Partially understand,"No, not familiar","No, plans not implemented",Never,Very unconfident,No,"No, never experienced",Never,Avoiding the use of personal email accounts or unsecured communication channels for sharing NGS data.,Maybe,"Minimal Emphasis: There is minimal emphasis on cybersecurity within the organization. Training is rare or non-existent, policies are unclear or unenforced, and there is little to no proactive behavior towards preventing cybersecurity threats.",Neutral,Never,Training not perceived as relevant or important by employees,Maybe,Maybe,Yes,"No, rarely or never","Yes, occasionally",Yes,Yes,No,Never,Email alerts,18-24,Maybe
05/02/2024 7:25,Student,Less than 1 year,Never,Never,No,Rarely,No,Delete the email without opening it,Maybe,Never,"Yes, sometimes","Yes, once","Yes, very aware","Yes, fully understand","Yes, very familiar","Yes, basic plans in place",Annually,Somewhat unconfident,No,"Yes, one incident",Rarely,I do not consider any above practice,No,"Generally Aware: Most employees are aware of the importance of cybersecurity. There are some policies and training in place, and while not all practices are perfectly followed, there's a concerted effort to maintain security.",Neutral,Occasionally,Training not perceived as relevant or important by employees,No,No,Yes,"No, rarely or never","Yes, occasionally",No,No,unsure,Frequently,Never discussed,18-24,Maybe
05/02/2024 7:27,IT/Cybersecurity Specialist,Less than 1 year,Monthly,Occasionally,Maybe,sometimes,Maybe,Forward the email to IT or cybersecurity department,Yes,Once per day,"Yes, always","Yes, once","Yes, very aware",Partially understand,Somewhat familiar,"Yes, basic plans in place",Quarterly,Somewhat confident,Yes,"Yes, multiple incidents","Occasionally (e.g., once a year)",Using secure and password-protected networks for accessing and transferring NGS data.,Yes,"Generally Aware: Most employees are aware of the importance of cybersecurity. There are some policies and training in place, and while not all practices are perfectly followed, there's a concerted effort to maintain security.",Neutral,Frequently,Lack of time or resources,No,Yes,Maybe,"No, rarely or never","Yes, regularly",Yes,Yes,No,Frequently,Internal website or dashboard,18-24,Yes
